"logit_1_0";"X_INDEX";"Y_INDEX"
0;149500;4379500
0;537500;4126500
0;193500;4558500
0;397500;4138500
0;239500;4745500
0;212500;4800500
0;229500;4231500
0;212500;4666500
0;221500;4778500
0;45500;4699500
0;340500;4436500
0;206500;4667500
0;870500;4587500
0;164500;4417500
0;291500;4030500
0;239500;4513500
0;211500;4798500
0;276500;4462500
0;94500;4736500
0;385500;4375500
0;347500;4798500
0;684500;4701500
0;230500;4580500
0;173500;4721500
0;210500;4668500
0;83500;4648500
0;448500;4775500
0;308500;4806500
0;474500;4647500
0;248500;4441500
0;237500;4742500
0;299500;4427500
0;198500;4754500
0;446500;4506500
0;208500;4798500
0;200500;4795500
0;194500;4655500
0;239500;4480500
0;237500;4813500
0;258500;4199500
0;282500;4784500
0;353500;4593500
0;495500;4532500
0;306500;4780500
0;859500;4692500
0;281500;4773500
0;216500;4759500
0;174500;4659500
0;434500;4779500
0;229500;4790500
0;408500;4285500
0;177500;4651500
0;241500;4806500
0;162500;4799500
0;445500;4769500
0;509500;4260500
0;287500;4441500
0;254500;4817500
0;276500;4353500
0;897500;4583500
0;245500;4819500
0;218500;4788500
0;510500;4564500
0;196500;4668500
0;155500;4659500
0;491500;4694500
0;841500;4698500
0;271500;4782500
0;346500;4299500
0;738500;4446500
0;263500;4769500
0;197500;4666500
0;232500;4171500
0;218500;4777500
0;212500;4667500
0;369500;4773500
0;111500;4652500
0;237500;4805500
0;222500;4809500
0;347500;4744500
0;213500;4822500
0;203500;4804500
0;270500;4764500
0;385500;4777500
0;166500;4726500
0;546500;4767500
0;75500;4832500
0;254500;4823500
0;258500;4812500
0;288500;4746500
0;464500;4797500
0;535500;4128500
0;597500;4630500
0;220500;4778500
0;229500;4709500
0;307500;4805500
0;375500;4454500
0;227500;4795500
0;288500;4036500
0;194500;4658500
0;506500;4804500
0;451500;4792500
0;985500;4703500
0;197500;4669500
0;217500;4743500
0;385500;4790500
0;455500;4804500
0;156500;4336500
0;328500;4781500
0;196500;4656500
0;320500;4796500
0;254500;4804500
0;283500;4402500
0;209500;4801500
0;454500;4769500
0;304500;4796500
0;162500;4118500
0;211500;4807500
0;116500;4824500
0;249500;4428500
0;342500;4749500
0;504500;4774500
0;338500;4294500
0;208500;4790500
0;410500;4216500
0;343500;4504500
0;444500;4800500
0;524500;4686500
0;574500;4370500
0;259500;4745500
0;205500;4756500
0;164500;4708500
0;218500;4639500
0;273500;4466500
0;203500;4671500
0;276500;4432500
0;537500;4521500
0;165500;4657500
0;199500;4822500
0;209500;4777500
0;234500;4801500
0;6500;4783500
0;985500;4705500
0;243500;4434500
0;288500;4446500
0;429500;4749500
0;438500;4594500
0;164500;4736500
0;214500;4783500
0;300500;4313500
0;208500;4800500
0;177500;4174500
0;537500;4549500
0;167500;4361500
0;596500;4791500
0;165500;4337500
0;176500;4734500
0;378500;4778500
0;261500;4818500
0;568500;4787500
0;437500;4765500
0;262500;4752500
0;543500;4788500
0;394500;4796500
0;201500;4758500
0;98500;4771500
0;255500;4748500
0;206500;4772500
0;311500;4464500
0;191500;4796500
0;111500;4703500
0;15500;4741500
0;892500;4609500
0;163500;4734500
0;171500;4732500
0;619500;4177500
0;135500;4829500
0;732500;4305500
0;438500;4796500
0;279500;4400500
0;332500;4456500
0;298500;4783500
0;194500;4695500
0;242500;4006500
0;464500;4115500
0;596500;4429500
0;276500;4464500
0;204500;4374500
0;226500;4761500
0;230500;4758500
0;266500;4817500
0;359500;4506500
0;454500;4073500
0;321500;4802500
0;529500;4091500
0;227500;4817500
0;399500;4458500
0;154500;4181500
0;398500;4792500
0;323500;4804500
0;364500;4318500
0;370500;4790500
0;133500;4160500
0;196500;4762500
0;452500;4768500
0;699500;4426500
0;292500;4427500
0;556500;4791500
0;265500;4423500
0;268500;4791500
0;197500;4788500
0;261500;4798500
0;205500;4624500
0;159500;4176500
0;669500;4376500
0;282500;4775500
0;262500;4810500
0;16500;4753500
0;213500;4718500
0;358500;4262500
0;239500;4804500
0;289500;4423500
0;965500;4639500
0;371500;4796500
0;181500;4739500
0;202500;4814500
0;168500;4769500
0;199500;4690500
0;213500;4321500
0;392500;4371500
0;345500;4213500
0;222500;4808500
0;216500;4799500
0;236500;4777500
0;189500;4826500
0;723500;4416500
0;218500;4668500
0;279500;4774500
0;169500;4725500
0;385500;4778500
0;203500;4797500
0;77500;4646500
0;219500;4667500
0;103500;4811500
0;196500;4814500
0;522500;4076500
0;209500;4768500
0;273500;4832500
0;438500;4799500
0;418500;4754500
0;240500;4678500
0;243500;4664500
0;365500;4796500
0;157500;4380500
0;58500;4806500
0;208500;4792500
0;447500;4707500
0;734500;4275500
0;139500;4370500
0;206500;4761500
0;255500;4749500
0;192500;4795500
0;145500;4166500
0;277500;4465500
0;195500;4122500
0;210500;4797500
0;211500;4825500
0;170500;4401500
0;175500;4218500
0;227500;4816500
0;207500;4210500
0;249500;4796500
0;196500;4813500
0;251500;4812500
0;177500;4791500
0;232500;4615500
0;370500;4783500
0;206500;4809500
0;217500;4788500
0;389500;4304500
0;215500;4801500
0;161500;4376500
0;311500;4804500
0;159500;4119500
0;294500;4796500
0;275500;4785500
0;338500;4466500
0;294500;4793500
0;205500;4399500
0;228500;4794500
0;175500;4798500
0;235500;4789500
0;310500;4485500
0;232500;4679500
0;229500;4753500
0;287500;4776500
0;135500;4185500
0;544500;4756500
0;135500;4264500
0;269500;4796500
0;213500;4771500
0;480500;4786500
0;187500;4767500
0;357500;4493500
0;987500;4715500
0;403500;4795500
0;242500;4173500
0;456500;4807500
0;170500;4718500
0;218500;4669500
0;184500;4767500
0;723500;4678500
0;225500;4718500
0;209500;4573500
0;134500;4168500
0;210500;4815500
0;457500;4769500
0;269500;4792500
0;199500;4789500
0;206500;4753500
0;161500;4777500
0;564500;4749500
0;183500;4723500
0;205500;4321500
0;272500;4763500
0;187500;4234500
0;427500;4812500
0;605500;4777500
0;439500;4362500
0;228500;4431500
0;302500;4325500
0;401500;4480500
0;203500;4373500
0;287500;4322500
0;341500;4291500
0;71500;4716500
0;205500;4797500
0;256500;4778500
0;238500;4679500
0;171500;4752500
0;421500;4797500
0;334500;4733500
0;239500;4803500
0;190500;4776500
0;210500;4806500
0;452500;4088500
0;176500;4664500
0;273500;4762500
0;412500;4493500
0;141500;4359500
0;198500;4788500
0;274500;4360500
0;236500;4259500
0;197500;4807500
0;436500;4784500
0;819500;4743500
0;435500;4769500
0;623500;4707500
0;200500;4669500
0;213500;4381500
0;223500;4627500
0;341500;4286500
0;225500;4713500
0;359500;4509500
0;336500;4453500
0;193500;4701500
0;447500;4810500
0;429500;4478500
0;451500;4278500
0;547500;4281500
0;188500;4760500
0;701500;4687500
0;288500;4809500
0;543500;4749500
0;413500;4494500
0;273500;4783500
0;338500;4801500
0;323500;4795500
0;276500;4203500
0;209500;4770500
0;160500;4676500
0;214500;4810500
0;509500;4790500
0;236500;4449500
0;119500;4394500
0;198500;4746500
0;205500;4803500
0;230500;4697500
0;441500;4523500
0;317500;4049500
0;207500;4795500
0;464500;4080500
